	Index	Return	Risk	Asset 1	Asset 2	Asset 3	Asset 4	Asset 5	Asset 6
0	1	-0.0012209413070188167	0.014836961439015557	-0.0	-0.0	0.0	0.99	-0.0	0.01
1	2	-0.0009860009648875218	0.014874258867177468	0.0	-0.0	0.0	1.0	-0.0	0.0
2	3	-0.0007510606227562268	0.014947834229260994	0.01	0.0	0.0	0.99	0.0	0.0
3	4	-0.0005161202806249318	0.015046662304270179	0.02	0.0	0.0	0.98	0.0	0.0
4	5	-0.00028117993849363686	0.015170560678677107	0.03	0.0	0.0	0.97	0.0	0.0
5	6	-4.623959636234189e-05	0.015318921064014368	0.04	0.0	0.0	0.96	0.0	0.0
6	7	0.00018870074576895308	0.015491040645449951	0.05	0.0	0.0	0.95	0.0	0.0
7	8	0.00042364108790024805	0.015686137333514014	0.06	0.0	0.0	0.94	0.0	0.0
8	9	0.000658581430031543	0.015903365526395413	0.07	0.0	0.0	0.93	0.0	0.0
9	10	0.000893521772162838	0.016141831746732532	0.08	0.0	0.0	0.92	0.0	0.0
10	11	0.001128462114294133	0.016396502208605803	0.08	0.01	0.0	0.9	-0.0	-0.0
11	12	0.001363402456425428	0.01666211401475224	0.09	0.02	0.0	0.89	-0.0	-0.0
12	13	0.001598342798556723	0.016938149021806414	0.09	0.03	0.0	0.88	-0.0	-0.0
13	14	0.0018332831406880179	0.01722410610771341	0.09	0.04	0.0	0.86	-0.0	-0.0
14	15	0.002068223482819313	0.01751949942821283	0.1	0.06	0.0	0.85	-0.0	-0.0
15	16	0.002303163824950608	0.01782385983172723	0.1	0.07	0.0	0.83	-0.0	-0.0
16	17	0.002538104167081903	0.018136735882387973	0.1	0.08	0.0	0.82	-0.0	-0.0
17	18	0.0027730445092131978	0.01845769453952659	0.11	0.09	0.0	0.8	-0.0	-0.0
18	19	0.0030079848513444927	0.01878632154100346	0.11	0.1	0.0	0.79	-0.0	-0.0
19	20	0.0032429251934757877	0.0191222215354284	0.11	0.11	0.0	0.77	-0.0	-0.0
20	21	0.0034778655356070827	0.019465018005092188	0.12	0.12	0.0	0.76	-0.0	-0.0
21	22	0.0037128058777383777	0.019814353017639893	0.12	0.13	0.0	0.75	-0.0	-0.0
22	23	0.003947746219869673	0.020169886840467832	0.12	0.15	0.0	0.73	-0.0	-0.0
23	24	0.004182686562000968	0.02053129744773647	0.13	0.16	0.0	0.72	-0.0	-0.0
24	25	0.004417626904132263	0.020898279945921697	0.13	0.17	0.0	0.7	-0.0	-0.0
25	26	0.004652567246263558	0.02127054594008641	0.13	0.18	0.0	0.69	-0.0	-0.0
26	27	0.004887507588394853	0.021647822859610394	0.13	0.19	0.0	0.67	-0.0	-0.0
27	28	0.005122447930526148	0.022029853259006162	0.14	0.2	0.0	0.66	-0.0	-0.0
28	29	0.005357388272657443	0.02241639410668337	0.14	0.21	0.0	0.65	-0.0	-0.0
29	30	0.005592328614788738	0.022807216072100598	0.14	0.22	0.0	0.63	-0.0	-0.0
30	31	0.005827268956920033	0.02320210281964437	0.15	0.24	0.0	0.62	-0.0	-0.0
31	32	0.006062209299051328	0.023600850315777706	0.15	0.25	0.0	0.6	-0.0	-0.0
32	33	0.006297149641182623	0.024003266154477204	0.15	0.26	0.0	0.59	-0.0	-0.0
33	34	0.006532089983313918	0.024409168904699057	0.16	0.27	0.0	0.57	-0.0	-0.0
34	35	0.006767030325445213	0.02481838748255241	0.16	0.28	0.0	0.56	-0.0	-0.0
35	36	0.007001970667576508	0.025230760549984042	0.16	0.29	0.0	0.54	-0.0	-0.0
36	37	0.007236911009707803	0.025646135941066812	0.17	0.3	0.0	0.53	-0.0	-0.0
37	38	0.007471851351839098	0.026064370116410964	0.17	0.31	-0.0	0.52	0.0	0.0
38	39	0.007706791693970393	0.026485327645762002	0.17	0.33	-0.0	0.5	0.0	0.0
39	40	0.007941732036101688	0.026908880718491502	0.18	0.34	-0.0	0.49	0.0	0.0
40	41	0.008176672378232983	0.027334908681412726	0.18	0.35	-0.0	0.47	0.0	0.0
41	42	0.008411612720364278	0.027763297603146362	0.18	0.36	-0.0	0.46	0.0	0.0
42	43	0.008646553062495572	0.02819393986411091	0.18	0.37	-0.0	0.44	0.0	0.0
43	44	0.008881493404626867	0.028626733771107426	0.19	0.38	-0.0	0.43	0.0	0.0
44	45	0.009116433746758162	0.029061583195399955	0.19	0.39	-0.0	0.42	0.0	0.0
45	46	0.009351374088889457	0.029498397233154446	0.19	0.4	-0.0	0.4	0.0	0.0
46	47	0.009586314431020752	0.02993708988708364	0.2	0.42	-0.0	0.39	0.0	0.0
47	48	0.009821254773152047	0.0303775797681482	0.2	0.43	-0.0	0.37	0.0	0.0
48	49	0.010056195115283342	0.03081978981618173	0.2	0.44	-0.0	0.36	0.0	0.0
49	50	0.010291135457414637	0.0312636470383345	0.21	0.45	-0.0	0.34	0.0	0.0
50	51	0.010526075799545932	0.03170908226426673	0.21	0.46	-0.0	0.33	0.0	0.0
51	52	0.010761016141677227	0.0321560299170628	0.21	0.47	-0.0	0.31	0.0	0.0
52	53	0.010995956483808522	0.03260442779888295	0.22	0.48	-0.0	0.3	0.0	0.0
53	54	0.011230896825939817	0.033054216890415586	0.22	0.49	-0.0	0.29	0.0	0.0
54	55	0.011465837168071112	0.033505341163241865	0.22	0.51	-0.0	0.27	0.0	0.0
55	56	0.011700777510202407	0.03395774740427219	0.23	0.52	-0.0	0.26	0.0	0.0
56	57	0.011935717852333702	0.03441138505146239	0.23	0.53	-0.0	0.24	0.0	0.0
57	58	0.012170658194464997	0.034866206040064	0.23	0.54	-0.0	0.23	0.0	0.0
58	59	0.012405598536596292	0.03532216465870844	0.23	0.55	-0.0	0.21	0.0	0.0
59	60	0.012640538878727587	0.03577921741466906	0.24	0.56	-0.0	0.2	0.0	0.0
60	61	0.012875479220858882	0.03623732290768641	0.24	0.57	-0.0	0.19	0.0	0.0
61	62	0.013110419562990177	0.036696441711782365	0.24	0.58	-0.0	0.17	0.0	0.0
62	63	0.013345359905121472	0.03715653626452657	0.25	0.6	-0.0	0.16	0.0	0.0
63	64	0.013580300247252767	0.03761757076325432	0.25	0.61	-0.0	0.14	0.0	0.0
64	65	0.013815240589384062	0.03807951106776903	0.25	0.62	-0.0	0.13	0.0	0.0
65	66	0.014050180931515357	0.038542324609094	0.26	0.63	-0.0	0.11	0.0	0.0
66	67	0.014285121273646652	0.03900598030386791	0.26	0.64	-0.0	0.1	0.0	0.0
67	68	0.014520061615777947	0.03947044847400674	0.26	0.65	-0.0	0.08	0.0	0.0
68	69	0.014755001957909242	0.039935700771280336	0.27	0.66	-0.0	0.07	0.0	0.0
69	70	0.014989942300040537	0.040401710106476814	0.27	0.67	-0.0	0.06	0.0	0.0
70	71	0.015224882642171832	0.04086845058285023	0.27	0.69	-0.0	0.04	0.0	0.0
71	72	0.015459822984303127	0.041335897433568344	0.28	0.7	-0.0	0.03	0.0	0.0
72	73	0.01569476332643442	0.04180402696289704	0.28	0.71	-0.0	0.01	0.0	0.0
73	74	0.015929703668565717	0.04227305268173966	0.28	0.72	0.0	0.0	0.0	0.0
74	75	0.01616464401069701	0.04276546280636215	0.31	0.69	0.0	0.0	0.0	0.0
75	76	0.016399584352828307	0.043295114472664396	0.34	0.66	0.0	0.0	0.0	0.0
76	77	0.0166345246949596	0.0438606585393955	0.36	0.64	0.0	0.0	0.0	0.0
77	78	0.016869465037090896	0.044460725364835675	0.39	0.61	0.0	0.0	0.0	0.0
78	79	0.01710440537922219	0.045093936782840335	0.42	0.58	0.0	0.0	0.0	0.0
79	80	0.017339345721353486	0.04575891685050928	0.44	0.56	0.0	0.0	0.0	0.0
80	81	0.01757428606348478	0.04645430131041049	0.47	0.53	0.0	0.0	0.0	0.0
81	82	0.017809226405616076	0.047178745757963436	0.5	0.5	0.0	0.0	0.0	0.0
82	83	0.01804416674774737	0.047930932543611776	0.52	0.48	0.0	0.0	0.0	0.0
83	84	0.018279107089878666	0.04870957646967929	0.55	0.45	0.0	0.0	0.0	0.0
84	85	0.01851404743200996	0.04951342936376322	0.58	0.42	-0.0	-0.0	-0.0	-0.0
85	86	0.018748987774141256	0.05034128362502061	0.6	0.4	-0.0	-0.0	-0.0	-0.0
86	87	0.01898392811627255	0.05119197484780918	0.63	0.37	-0.0	-0.0	-0.0	-0.0
87	88	0.019218868458403846	0.05206438363000422	0.66	0.34	-0.0	-0.0	-0.0	-0.0
88	89	0.01945380880053514	0.052957436672060876	0.68	0.32	-0.0	-0.0	-0.0	-0.0
89	90	0.019688749142666436	0.053870107268576946	0.71	0.29	-0.0	-0.0	-0.0	-0.0
90	91	0.01992368948479773	0.054801415287656564	0.73	0.27	-0.0	-0.0	-0.0	-0.0
91	92	0.020158629826929026	0.055750426725559445	0.76	0.24	-0.0	-0.0	-0.0	-0.0
92	93	0.02039357016906032	0.056716252915573605	0.79	0.21	-0.0	-0.0	-0.0	-0.0
93	94	0.020628510511191616	0.05769804946126179	0.81	0.19	-0.0	-0.0	-0.0	-0.0
94	95	0.02086345085332291	0.058695014955570744	0.84	0.16	-0.0	-0.0	-0.0	-0.0
95	96	0.021098391195454206	0.05970638953901583	0.87	0.13	-0.0	-0.0	-0.0	-0.0
96	97	0.0213333315375855	0.06073145334243441	0.89	0.11	-0.0	-0.0	-0.0	-0.0
97	98	0.021568271879716796	0.06176952485274142	0.92	0.08	-0.0	-0.0	-0.0	-0.0
98	99	0.02180321222184809	0.06281995923376704	0.95	0.05	-0.0	-0.0	-0.0	-0.0
99	100	0.022038152563979386	0.06388214662861942	0.97	0.03	-0.0	-0.0	-0.0	-0.0
100	101	0.02227309290611068	0.06495551346880044	1.0	-0.0	-0.0	-0.0	-0.0	0.0
