Date,AAPL,GSPC,TSLA,EURUSD,META,SPOT
2025-09-30,253.69,6688.46,444.72,1.1731,732.47,698.0
2025-10-31,269.37,6840.2,456.56,1.1572,646.67,655.32
2025-11-30,278.09,6849.09,430.17,1.1597,646.27,598.87
2025-12-31,271.12,6845.5,449.72,1.1747,658.91,580.71
2026-01-31,258.78,6939.03,430.41,1.1855,715.22,500.35
2026-02-28,263.71,6878.88,402.51,1.1803,647.03,514.94
2026-03-31,253.34,6528.52,371.75,1.146,571.6,484.91
2026-04-30,270.87,7209.01,381.63,1.1685,611.34,446.55
2026-05-31,311.79,7580.06,435.79,1.166,631.92,497.68
2026-06-30,289.11,7499.36,420.6,1.1422,563.29,459.13
2026-07-31,308.64,7489.72,311.21,1.1524,556.71,499.94
2026-08-31,316.85,7686.14,367.95,1.1589,572.34,543.62
