Date	AAPL	GSPC	TSLA	EURUSD	META	SPOT
2024-09-30	231.07	5762.48	261.63	1.0859	567.17	368.53
2024-10-31	224.04	5705.45	249.85	1.0581	564.33	385.1
2024-11-30	235.62	6032.38	345.16	1.0406	571.03	476.96
2024-12-31	248.62	5881.63	403.84	1.0397	582.63	447.38
2025-01-31	234.3	6040.53	404.6	1.0395	685.79	548.55
2025-02-28	240.36	5954.5	292.98	1.0824	664.91	608.01
2025-03-31	220.77	5611.85	259.16	1.1389	574.04	550.03
2025-04-30	211.2	5569.06	282.16	1.1351	546.79	613.98
2025-05-31	199.88	5911.69	346.46	1.1727	644.88	665.14
2025-06-30	204.18	6204.95	317.66	1.1429	735.68	767.34
2025-07-31	206.57	6339.39	308.27	1.1686	770.91	626.54
2025-08-31	231.29	6460.26	333.87	1.1731	736.29	681.88
2025-09-30	253.69	6688.46	444.72	1.1572	732.47	698.0
2025-10-31	269.37	6840.2	456.56	1.1597	646.67	655.32
2025-11-30	278.09	6849.09	430.17	1.1747	646.27	598.87
2025-12-31	271.12	6845.5	449.72	1.1855	658.91	580.71
2026-01-31	258.78	6939.03	430.41	1.1803	715.22	500.35
2026-02-28	263.71	6878.88	402.51	1.146	647.03	514.94
2026-03-31	253.34	6528.52	371.75	1.1685	571.6	484.91
2026-04-30	270.87	7209.01	381.63	1.166	611.34	446.55
2026-05-31	311.79	7580.06	435.79	1.1422	631.92	497.68
2026-06-30	289.11	7499.36	420.6	1.1524	563.29	459.13
2026-07-31	308.64	7489.72	311.21	1.1589	556.71	499.94
2026-08-31	316.85	7686.14	367.95	1.1621	572.34	543.62
